Format Version,1.24,Take Name,Take 2025-07-02 05.22.24 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-07-02 05.22.25.163 午後,Capture Start Frame,702449,Total Frames in Take,666,Total Exported Frames,666,Rotation Type,YXZ,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.133333,-11.673818,-52.865627,9.280805,58.959431,134.797882,34.436954,-47.740501,-1.971360,33.265198,-52.286400,24.814800,-10.443900,44.451099,31.496599,-15.547800,-143.274994,-32.051998,-6.589080,53.560600,-0.909425,26.228600,145.290009,-21.378599,-26.913000,88.032242,-5.920196,150.117798,-82.133133,102.987923,52.625298,23.216801,19.667599,0.292987,-26.640400,10.981600,0.395030,3.423610,-30.649099,-0.688046,8.102625,159.622757,53.037525,7.620089,136.960556,6.745157,104.795898,144.233887,3.901187,-78.868599,80.127090,34.410652,109.912247,163.138397,53.134571,205.627060,113.309952,46.085117,-82.443176,98.399025,82.563187,-85.754860,129.523010,40.147831,,,,,,,,,
17,0.141667,-11.466566,-53.040150,9.079309,58.868027,134.911270,34.564049,-47.740501,-1.971360,33.265198,-52.286400,24.814800,-10.443900,44.451099,31.496599,-15.547800,-143.274994,-32.051998,-6.589080,53.560600,-0.909425,26.228600,145.290009,-21.378599,-26.913000,88.032242,-5.920196,150.117798,-82.133133,102.987923,52.625298,23.216801,19.667599,0.292987,-26.640400,10.981600,0.395030,3.423610,-30.649099,-0.688046,8.103243,159.623825,53.038139,7.614005,137.048965,6.807312,104.635628,144.325317,3.913624,-78.874779,80.139351,34.411297,109.914192,163.154282,53.134277,205.496872,113.042946,46.172371,-82.437256,98.378830,82.533066,-85.763138,129.489563,40.136505,,,,,,,,,
18,0.150000,-11.401477,-53.148712,9.040646,58.853851,134.970642,34.622910,-47.740501,-1.971360,33.265198,-52.286400,24.814800,-10.443900,44.451099,31.496599,-15.547800,-143.274994,-32.051998,-6.589080,53.560600,-0.909425,26.228600,145.290009,-21.378599,-26.913000,88.032242,-5.920196,150.117798,-82.133133,102.987923,52.625298,23.216801,19.667599,0.292987,-26.640400,10.981600,0.395030,3.423610,-30.649099,-0.688046,8.114349,159.702347,53.105942,7.623191,137.034485,6.811428,104.612152,144.322571,3.904577,-78.857307,80.120567,34.410980,109.899231,163.148621,53.160191,205.498199,113.044273,46.177982,-82.432007,98.378166,82.543900,-85.733826,129.477386,40.121159,,,,,,,,,
19,0.158333,-11.431977,-53.219303,9.077357,58.884521,134.993408,34.600891,-47.740501,-1.971360,33.265198,-52.286400,24.814800,-10.443900,44.451099,31.496599,-15.547800,-143.274994,-32.051998,-6.589080,53.560600,-0.909425,26.228600,145.290009,-21.378599,-26.913000,88.032242,-5.920196,150.117798,-82.133133,102.987923,52.625298,23.216801,19.667599,0.292987,-26.640400,10.981600,0.395030,3.423610,-30.649099,-0.688046,8.226531,159.732025,53.031921,7.620380,136.953430,6.741234,104.612289,144.330688,3.919272,-78.852058,80.132141,34.395683,109.911247,163.130203,53.130657,205.501785,113.004326,46.171291,-82.432671,98.361649,82.513573,-85.741104,129.498825,40.137127,,,,,,,,,
20,0.166667,-11.444379,-53.105953,9.069984,58.856148,134.921066,34.589066,-47.740501,-1.971360,33.265198,-52.286400,24.814800,-10.443900,44.451099,31.496599,-15.547800,-143.274994,-32.051998,-6.589080,53.560600,-0.909425,26.228600,145.290009,-21.378599,-26.913000,88.032242,-5.920196,150.117798,-82.133133,102.987923,52.625298,23.216801,19.667599,0.292987,-26.640400,10.981600,0.395030,3.423610,-30.649099,-0.688046,8.101330,159.617661,53.026138,7.620892,136.959412,6.743123,104.607033,144.334137,3.938709,-78.855507,80.118866,34.398441,109.896866,163.131775,53.153606,205.498779,113.010880,46.166252,-82.436195,98.363777,82.536217,-85.748405,129.456619,40.146526,,,,,,,,,
21,0.175000,-11.449234,-53.090439,9.071093,58.859703,134.903809,34.575348,-47.740501,-1.971360,33.265198,-52.286400,24.814800,-10.443900,44.451099,31.496599,-15.547800,-143.274994,-32.051998,-6.589080,53.560600,-0.909425,26.228600,145.290009,-21.378599,-26.913000,88.032242,-5.920196,150.117798,-82.133133,102.987923,52.625298,23.216801,19.667599,0.292987,-26.640400,10.981600,0.395030,3.423610,-30.649099,-0.688046,8.101780,159.613846,53.028156,7.617656,136.960846,6.732976,104.613579,144.318298,3.925257,-78.864944,80.126732,34.406773,109.917549,163.141296,53.132271,205.504013,113.008385,46.163689,-82.445999,98.388992,82.558731,-85.770142,129.450562,40.137024,,,,,,,,,
22,0.183333,-11.471767,-53.062202,9.087781,58.865227,134.912216,34.576202,-47.740501,-1.971360,33.265198,-52.286400,24.814800,-10.443900,44.451099,31.496599,-15.547800,-143.274994,-32.051998,-6.589080,53.560600,-0.909425,26.228600,145.290009,-21.378599,-26.913000,88.032242,-5.920196,150.117798,-82.133133,102.987923,52.625298,23.216801,19.667599,0.292987,-26.640400,10.981600,0.395030,3.423610,-30.649099,-0.688046,8.104979,159.620392,53.031353,7.624115,136.963577,6.739773,104.624268,144.358810,3.942070,-78.860443,80.148224,34.397133,109.899467,163.147049,53.158836,205.506592,113.031654,46.172752,-82.419319,98.408829,82.566772,-85.760712,129.527939,40.122505,,,,,,,,,
23,0.191667,-11.454288,-53.089184,9.073628,58.865322,134.913269,34.568169,-47.740501,-1.971360,33.265198,-52.286400,24.814800,-10.443900,44.451099,31.496599,-15.547800,-143.274994,-32.051998,-6.589080,53.560600,-0.909425,26.228600,145.290009,-21.378599,-26.913000,88.032242,-5.920196,150.117798,-82.133133,102.987923,52.625298,23.216801,19.667599,0.292987,-26.640400,10.981600,0.395030,3.423610,-30.649099,-0.688046,8.104071,159.624344,53.020340,7.650557,136.993271,6.747149,104.610588,144.314713,3.901566,-78.872398,80.128151,34.405212,109.915985,163.141769,53.132996,205.499664,113.025970,46.170876,-82.446365,98.398064,82.554657,-85.735565,129.493607,40.131714,,,,,,,,,
24,0.200000,-11.429423,-53.172119,9.066905,58.852444,134.944901,34.601162,-47.740501,-1.971360,33.265198,-52.286400,24.814800,-10.443900,44.451099,31.496599,-15.547800,-143.274994,-32.051998,-6.589080,53.560600,-0.909425,26.228600,145.290009,-21.378599,-26.913000,88.032242,-5.920196,150.117798,-82.133133,102.987923,52.625298,23.216801,19.667599,0.292987,-26.640400,10.981600,0.395030,3.423610,-30.649099,-0.688046,8.101727,159.620667,53.027729,7.618752,136.959091,6.744610,104.597290,144.302795,3.911093,-78.846642,80.135033,34.405361,109.897720,163.145569,53.159912,205.494278,113.038399,46.176041,-82.441589,98.386589,82.551598,-85.743767,129.535706,40.142117,,,,,,,,,
25,0.208333,-11.444107,-53.047707,9.060844,58.862068,134.932526,34.581089,-47.740501,-1.971360,33.265198,-52.286400,24.814800,-10.443900,44.451099,31.496599,-15.547800,-143.274994,-32.051998,-6.589080,53.560600,-0.909425,26.228600,145.290009,-21.378599,-26.913000,88.032242,-5.920196,150.117798,-82.133133,102.987923,52.625298,23.216801,19.667599,0.292987,-26.640400,10.981600,0.395030,3.423610,-30.649099,-0.688046,8.104011,159.623428,53.027889,7.614472,137.046738,6.804719,104.616325,144.365570,3.946473,-78.858253,80.124878,34.397297,109.912193,163.142715,53.134392,205.497711,113.028084,46.167122,-82.442741,98.402977,82.560112,-85.756393,129.544327,40.149998,,,,,,,,,
